"","postalcode","municipality","number"
"1","2870","Puurs",1
"2","4170","Comblain-au-Pont",3
"3","4031","Lüttich",1
"4","6230","Pont-à-Celles",3
"5","6832","Bouillon",1
"6","2800","Mechelen",1
"7","1670","Pepingen",1
"8","2840","Rumst",1
"9","8957","Mesen",1
"10","8434","Middelkerke",1
"11","8510","Kortrijk",1
"12","8930","Menin",1
"13","1341","Ottignies-Louvain-la-Neuve",4
"14","6593","Momignies",1
"15","1476","Genepiën",1
"16","7548","Doornik",1
"17","9700","Audenarde",1
"18","8755","Ruiselede",1
"19","8904","Ypres",1
"20","1410","Waterloo",1
"21","8572","Anzegem",1
"22","3840","Borgloon",1
"23","4432","Ans",1
"24","4000","Liège",1
"25","1400","Nijvel",1
"26","9890","Gavere",1
"27","7711","Moeskroen",1
"28","8432","Middelkerke",1
"29","9240","Zele",1
"30","2640","Mortsel",1
"31","9255","Buggenhout",1
"32","8870","Izegem",1
"33","2861","Sint-Katelijne-Waver",3
"34","7502","Doornik",1
"35","3560","Lummen",1
"36","6960","Manhay",1
"37","8978","Poperinge",1
"38","4347","Fexhe-le-Haut-Clocher",4
"39","8810","Lichtervelde",1
"40","4690","Bassenge",1
"41","1190","Vorst",1
"42","3798","Voeren",1
"43","9552","Herzele",1
"44","1081","Koekelberg",1
"45","6500","Beaumont",1
"46","7000","Mons",1
"47","6183","Courcelles",1
"48","3202","Aarschot",1
"49","1790","Affligem",1
"50","9831","Sint-Martens-Latem",3
"51","1320","Beauvechain",1
"52","3520","Zonhoven",1
"53","8540","Deerlijk",1
"54","9040","Gand",1
"55","6760","Virton",1
"56","1370","Geldenaken",1
"57","8580","Avelgem",1
"58","9420","Erpe-Mere",2
"59","1430","Rebecq",1
"60","3640","Kinrooi",1
"61","3054","Oud-Heverlee",2
"62","2322","Hoogstraten",1
"63","6041","Charleroi",1
"64","5354","Ohey",1
"65","5310","Eghezée",1
"66","4520","Wanze",1
"67","3930","Hamont-Achel",2
"68","3290","Diest",1
"69","7061","Soignies",1
"70","5650","Walcourt",1
"71","3440","Léau",1
"72","7531","Tournai",1
"73","9040","Gent",1
"74","2240","Zandhoven",1
"75","6240","Farciennes",1
"76","3510","Hasselt",1
"77","8650","Houthulst",1
"78","2400","Mol",1
"79","1500","Halle",1
"80","5372","Havelange",1
"81","7503","Tournai",1
"82","7501","Tournai",1
"83","9100","Saint-Nicolas",2
"84","9660","Brakel",1
"85","3118","Rotselaar",1
"86","2040","Antwerpen",1
"87","9630","Zwalm",1
"88","8433","Middelkerke",1
"89","9150","Kruibeke",1
"90","4821","Dison",1
"91","8200","Brügge",1
"92","4624","Fléron",1
"93","3130","Begijnendijk",1
"94","6531","Thuin",1
"95","4181","Hamoir",1
"96","9521","Sint-Lievens-Houtem",3
"97","8952","Heuvelland",1
"98","9404","Ninove",1
"99","7500","Tournai",1
"100","7802","Ath",1
"101","8800","Roulers",1
"102","5351","Ohey",1
"103","5563","Houyet",1
"104","6567","Merbes-le-Château",3
"105","1350","Orp-Jauche",2
"106","1070","Anderlecht",1
"107","1471","Genepiën",1
"108","3665","As",1
"109","6856","Paliseul",1
"110","8630","Furnes",1
"111","7180","Seneffe",1
"112","6533","Thuin",1
"113","3600","Genk",1
"114","8600","Dixmude",1
"115","7300","Boussu",1
"116","5541","Hastière",1
"117","3272","Scherpenheuvel-Zichem",2
"118","3511","Hasselt",1
"119","2170","Anvers",1
"120","1401","Nijvel",1
"121","2060","Anvers",1
"122","9960","Assenede",1
"123","2550","Kontich",1
"124","1853","Grimbergen",1
"125","3980","Tessenderlo",1
"126","3391","Tielt-Winge",2
"127","7191","Ecaussinnes",1
"128","9451","Haaltert",1
"129","4721","Kelmis",1
"130","8951","Heuvelland",1
"131","3590","Diepenbeek",1
"132","8587","Spiere-Helkijn",2
"133","9800","Deinze",1
"134","4042","Herstal",1
"135","7370","Dour",1
"136","1701","Dilbeek",1
"137","7711","Mouscron",1
"138","7540","Tournai",1
"139","9968","Assenede",1
"140","9620","Zottegem",1
"141","4557","Tinlot",1
"142","9860","Oosterzele",1
"143","8380","Bruges",1
"144","9160","Lokeren",1
"145","4102","Seraing",1
"146","2940","Stabroek",1
"147","1020","Brussel",1
"148","1755","Gooik",1
"149","6222","Fleurus",1
"150","7542","Doornik",1
"151","2280","Grobbendonk",1
"152","1750","Lennik",1
"153","4540","Amay",1
"154","7903","Leuze-en-Hainaut",3
"155","3390","Tielt-Winge",2
"156","4651","Herve",1
"157","7780","Komen-Waasten",2
"158","4460","Grâce-Hollogne",2
"159","4900","Spa",1
"160","4784","Saint-Vith",2
"161","8560","Wevelgem",1
"162","3690","Zutendaal",1
"163","2000","Anvers",1
"164","8431","Middelkerke",1
"165","4780","Sankt Vith",2
"166","7031","Mons",1
"167","1480","Tubize",1
"168","3270","Scherpenheuvel-Zichem",2
"169","6860","Léglise",1
"170","7850","Enghien",1
"171","9750","Zingem",1
"172","1850","Grimbergen",1
"173","4287","Lijsem",1
"174","2500","Lier",1
"175","8954","Heuvelland",1
"176","7863","Lessen",1
"177","4053","Chaudfontaine",1
"178","5024","Namen",1
"179","6670","Gouvy",1
"180","8890","Moorslede",1
"181","8300","Knokke-Heist",2
"182","3191","Boortmeerbeek",1
"183","2610","Anvers",1
"184","6110","Montigny-le-Tilleul",3
"185","1080","Sint-Jans-Molenbeek",3
"186","6838","Bouillon",1
"187","1090","Jette",1
"188","3800","Saint-Trond",2
"189","9112","Saint-Nicolas",2
"190","7050","Jurbeke",1
"191","3012","Louvain",1
"192","4287","Lincent",1
"193","7863","Lessines",1
"194","2547","Lint",1
"195","1367","Ramillies",1
"196","1654","Beersel",1
"197","2830","Willebroek",1
"198","6747","Saint-Léger",2
"199","5330","Assesse",1
"200","8400","Ostende",1
"201","1702","Dilbeek",1
"202","6660","Houffalize",1
"203","1342","Ottignies-Louvain-la-Neuve",4
"204","7110","La Louvière",2
"205","4831","Limbourg",1
"206","7000","Bergen",1
"207","8500","Courtrai",1
"208","8551","Zwevegem",1
"209","8430","Middelkerke",1
"210","6030","Charleroi",1
"211","8780","Oostrozebeke",1
"212","6717","Attert",1
"213","2440","Geel",1
"214","8647","Lo-Reninge",2
"215","5340","Gesves",1
"216","2387","Baarle-Hertog",2
"217","1476","Genappe",1
"218","4784","Sankt Vith",2
"219","5521","Onhaye",1
"220","9840","De Pinte",2
"221","1030","Schaerbeek",1
"222","9185","Wachtebeke",1
"223","6820","Florenville",1
"224","9950","Waarschoot",1
"225","3580","Beringen",1
"226","9880","Aalter",1
"227","7504","Tournai",1
"228","6280","Gerpinnes",1
"229","6724","Habay",1
"230","9032","Gand",1
"231","7022","Mons",1
"232","9000","Gent",1
"233","3970","Leopoldsburg",1
"234","4250","Geer",1
"235","7533","Tournai",1
"236","8680","Koekelare",1
"237","6706","Aarlen",1
"238","9971","Kaprijke",1
"239","7060","Soignies",1
"240","6742","Etalle",1
"241","4602","Visé",1
"242","7533","Doornik",1
"243","4760","Bullange",1
"244","2590","Berlaar",1
"245","3770","Riemst",1
"246","4032","Liège",1
"247","7803","Ath",1
"248","8720","Dentergem",1
"249","7532","Tournai",1
"250","2801","Mechelen",1
"251","4431","Ans",1
"252","4606","Dalhem",1
"253","1470","Genappe",1
"254","4877","Olne",1
"255","1082","Berchem-Sainte-Agathe",3
"256","5590","Ciney",1
"257","7333","Saint-Ghislain",2
"258","4633","Soumagne",1
"259","5352","Ohey",1
"260","3440","Zoutleeuw",1
"261","9500","Grammont",1
"262","7532","Doornik",1
"263","9506","Geraardsbergen",1
"264","3270","Montaigu-Zichem",2
"265","1547","Bever",1
"266","6040","Charleroi",1
"267","8972","Poperinge",1
"268","1620","Drogenbos",1
"269","4453","Juprelle",1
"270","6532","Thuin",1
"271","5500","Dinant",1
"272","1200","Sint-Lambrechts-Woluwe",3
"273","4721","La Calamine",2
"274","6042","Charleroi",1
"275","3850","Nieuwerkerken",1
"276","6723","Habay",1
"277","8920","Langemark-Poelkapelle",2
"278","2230","Herselt",1
"279","1933","Zaventem",1
"280","3722","Kortessem",1
"281","6790","Aubange",1
"282","1930","Zaventem",1
"283","1360","Perwijs",1
"284","4351","Remicourt",1
"285","4910","Theux",1
"286","9500","Geraardsbergen",1
"287","7610","Rumes",1
"288","3472","Kortenaken",1
"289","4300","Waremme",1
"290","1820","Steenokkerzeel",1
"291","1785","Merchtem",1
"292","8573","Anzegem",1
"293","2610","Antwerpen",1
"294","1130","Brussel",1
"295","6941","Durbuy",1
"296","4700","Eupen",1
"297","5000","Namen",1
"298","6792","Aubange",1
"299","5003","Namen",1
"300","3360","Bierbeek",1
"301","1331","Rixensart",1
"302","6850","Paliseul",1
"303","7502","Tournai",1
"304","9572","Lierde",1
"305","8902","Ypres",1
"306","1770","Liedekerke",1
"307","2960","Brecht",1
"308","1980","Zemst",1
"309","3724","Kortessem",1
"310","9112","Sint-Niklaas",2
"311","7181","Seneffe",1
"312","3631","Maasmechelen",1
"313","8750","Wingene",1
"314","8610","Kortemark",1
"315","2018","Anvers",1
"316","2321","Hoogstraten",1
"317","8760","Meulebeke",1
"318","9921","Lovendegem",1
"319","3052","Oud-Heverlee",2
"320","2812","Malines",1
"321","3060","Bertem",1
"322","3791","Voeren",1
"323","6592","Momignies",1
"324","5170","Profondeville",1
"325","3454","Geetbets",1
"326","4257","Berloz",1
"327","4831","Limburg",1
"328","5540","Hastière",1
"329","1831","Machelen",1
"330","6111","Montigny-le-Tilleul",3
"331","5031","Gembloux",1
"332","5101","Namen",1
"333","8770","Ingelmunster",1
"334","1601","Sint-Pieters-Leeuw",3
"335","2540","Hove",1
"336","3950","Bocholt",1
"337","4121","Neupré",1
"338","3190","Boortmeerbeek",1
"339","2430","Laakdal",1
"340","2288","Grobbendonk",1
"341","2470","Retie",1
"342","5363","Hamois",1
"343","5080","La Bruyère",2
"344","4031","Liège",1
"345","1380","Lasne",1
"346","2370","Arendonk",1
"347","5361","Hamois",1
"348","9140","Tamise",1
"349","4430","Ans",1
"350","7812","Ath",1
"351","3221","Holsbeek",1
"352","1653","Beersel",1
"353","2860","Sint-Katelijne-Waver",3
"354","4340","Awans",1
"355","5630","Cerfontaine",1
"356","9290","Berlare",1
"357","7943","Brugelette",1
"358","3720","Kortessem",1
"359","7034","Mons",1
"360","3806","Saint-Trond",2
"361","5002","Namur",1
"362","2660","Antwerpen",1
"363","7522","Doornik",1
"364","6441","Froidchapelle",1
"365","4800","Verviers",1
"366","7906","Leuze-en-Hainaut",3
"367","3090","Overijse",1
"368","2350","Vosselaar",1
"369","3001","Löwen",1
"370","6461","Chimay",1
"371","6560","Erquelinnes",1
"372","4452","Juprelle",1
"373","6800","Libramont-Chevigny",2
"374","9308","Alost",1
"375","7784","Comines-Warneton",2
"376","7801","Ath",1
"377","7951","Chièvres",1
"378","7012","Mons",1
"379","7543","Tournai",1
"380","3010","Löwen",1
"381","1320","Bevekom",1
"382","7618","Rumes",1
"383","2570","Duffel",1
"384","4280","Hannut",1
"385","1502","Hal",1
"386","7500","Doornik",1
"387","3384","Glabbeek",1
"388","9700","Oudenaarde",1
"389","2431","Laakdal",1
"390","4987","Stoumont",1
"391","8691","Alveringem",1
"392","4620","Fléron",1
"393","4980","Trois-Ponts",2
"394","3271","Montaigu-Zichem",2
"395","3790","Fourons",1
"396","9980","Sint-Laureins",2
